ObjectId,ResponseID,EndDate,Finished,Rate_your_satisfaction_with_thi,Satisfaction_Level,Program,Answered_Question__1_yes__0_no_,Percent_,Fiscal_Year,FY
135,R_1dKAhcLNGQ3VQq5,2017/06/13 11:55:59,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
136,R_1dmJdwO3otQnEMv,2018/06/26 12:53:59,1,1,Very Satisfied,Adaptive Adult,1,,2018/06/30 00:00:00,FY 2018
137,R_1dozt4jijRswV0R,2017/06/15 09:59:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
138,R_1DRXuwxURdfnzkV,2018/06/26 08:32:59,1,1,Very Satisfied,Education Program,1,,2018/06/30 00:00:00,FY 2018
139,R_1DTfJUeBNDQJ9oa,2017/06/14 18:24:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
140,R_1DTj7KVqvG1XXKw,2017/06/13 22:49:00,1,4,Dissatisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
141,R_1DTlp8Ysi76k0tL,2017/06/20 22:08:00,1,2,Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
142,R_1duYfjy6qnP5iiN,2017/06/16 09:13:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
143,R_1DzGE2GXvfTEFmT,2017/06/24 13:18:59,1,2,Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
144,R_1dzu4uPY6ehijjS,2018/06/26 09:04:59,1,3,Neutral,Dance Class,1,,2018/06/30 00:00:00,FY 2018
145,R_1E4BRDvmkIOAmqe,2017/06/13 11:32:00,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
146,R_1E5mxuxSijCmTky,2017/06/13 11:22:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
147,R_1EaEyrZ2eGAt8iD,2017/06/17 13:37:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
148,R_1EbAS2FKkgXMdTX,2018/06/26 19:24:00,1,1,Very Satisfied,Education Program,1,,2018/06/30 00:00:00,FY 2018
149,R_1eCvse3L1MMByhu,2017/06/14 18:56:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
150,R_1EdgHDytvGm44WN,2017/06/16 15:06:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
151,R_1IvlpBSpO9edYU0,2017/06/14 16:06:59,1,1,Very Satisfied,Martial Arts,1,,2017/06/30 00:00:00,FY 2017
152,R_1IYhxtk6iu6wOdc,2017/06/13 19:38:59,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
153,R_1IYJUtlHNTPZpEU,2017/06/18 15:04:59,1,2,Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
