Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance
Recreation,"Strictly Tango, Washington Square Park Conservancy",07/31/2018 06:00:00 PM,Manhattan,Park,Washington Square Park,Strictly Tango at Washington Square Park Live Music,Community Based Event,Arts/Culture,Dance,Adults;#Seniors,275
Recreation,,07/31/2018 08:00:00 PM,Manhattan,Playground,St. Nicholas Playground North,Movies Under the Stars - Justice League,Community Based Event,Mobile Unit,Movies,General Public,153
Recreation,,08/03/2018 08:30:00 PM,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: Chariots of Fire,Community Based Event,Mobile Unit,Movies,General Public,25
Recreation,,08/01/2018 08:30:00 PM,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: The King and I,Community Based Event,Mobile Unit,Movies,General Public,4
Recreation,,07/19/2018 08:30:00 PM,Staten Island,Park,Westerleigh Park,Movies Under the Stars: The Lorax,Community Based Event,Mobile Unit,Movies,General Public,40
Recreation,,07/19/2018 12:00:00 AM,Staten Island,Park,Lemon Creek Park,Movies Under the Stars: Despicable Me 3,Community Based Event,Mobile Unit,Movies,General Public,175
Recreation,,08/03/2018 08:15:00 PM,Bronx,Recreation Center,St. James Recreation Center,Movies Under The Stars: Early Man,Community Based Event,Mobile Unit,Movies,General Public,5
Recreation,Council Member Gibson,08/03/2018 08:15:00 PM,Bronx,Park,Mullaly Park,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,64
Recreation,,08/02/2018 08:15:00 PM,Bronx,Park,Haffen Park,Movies Under The Stars: Remember The Titans,Community Based Event,Mobile Unit,Movies,General Public,0
Recreation,,07/20/2018 09:00:00 PM,Staten Island,Park,De Matti Park,Movies Under the Stars: Flubber,Community Based Event,Mobile Unit,Movies,General Public,40
Recreation,,07/20/2018 09:00:00 PM,Staten Island,Recreation Center,Ocean Breeze Track & Field Athletic Complex,Movies Under the Stars: TMNT: Out of the Shadows,Community Based Event,Mobile Unit,Movies,General Public,65
Recreation,,07/20/2018 09:00:00 PM,Staten Island,Park,Conference House Park,Movies Under the Stars:Wonder Woman,Community Based Event,Mobile Unit,Movies,General Public,125
Recreation,,08/03/2018 08:30:00 PM,Queens,Park,Crocheron Park,"Movies Under the Stars ""Justice League""",Community Based Event,Mobile Unit,Movies,General Public,118
Recreation,,07/24/2018 08:30:00 PM,Staten Island,Park,Clove Lakes Park,Movies Under the Stars: Coco,Community Based Event,Mobile Unit,Movies,General Public,140
Recreation,,07/25/2018 08:30:00 PM,Staten Island,Recreation Center,Greenbelt Recreation Center,Movies Under the Stars: Bye Bye Birdie,Community Based Event,Mobile Unit,Movies,General Public,5
Recreation,,07/26/2018 08:30:00 PM,Staten Island,Park,Faber Pool and Park,Movies Under the Stars: Jurassic,Community Based Event,Mobile Unit,Movies,General Public,100
Recreation,,07/27/2018 08:30:00 PM,Staten Island,Park,Wolfe's Pond Park,Movies Under the Stars: Pitch Perfect 2,Community Based Event,Mobile Unit,Movies,General Public,75
Recreation,,07/28/2018 08:30:00 PM,Staten Island,Park,CPL. Thompson Park,Movies Under the Stars: Justice League,Community Based Event,Mobile Unit,Movies,General Public,45
Recreation,,07/28/2018 08:30:00 PM,Staten Island,Other,Timoshenko,Movies Under the Stars: Star Wars: The Last Jedi,Community Based Event,Mobile Unit,Movies,General Public,100
Recreation,,07/31/2018 08:30:00 PM,Staten Island,Park,Bloomingdale Park,Movies Under the Stars: Pirates of the Caribbean,Community Based Event,Mobile Unit,Movies,General Public,100
Recreation,,08/02/2018 08:00:00 PM,Brooklyn,Park,Herbert Von King Park,"Movies Under the Stars "" Thor : Ragnarok""",Community Based Event,Mobile Unit,Movies,General Public,200
Recreation,,08/01/2018 08:15:00 PM,Bronx,Playground,Loreto Playground,Movies Under The Stars: Jumanji: Welcome To The Jungle,Community Based Event,Mobile Unit,Movies,General Public,44
Recreation,Councilman Cohen,07/31/2018 08:15:00 PM,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: The Lion KIng,Community Based Event,Mobile Unit,Movies,General Public,236
